"variable_names","variable_desc","religion_name"
"TOTCNG","All denominations/groups--Total number of congregations","All denominations/groups"
"TOTADH","All denominations/groups--Total number of adherents","All denominations/groups"
"TOTRATE","All denominations/groups--Rates of adherence per 1,000 population","All denominations/groups"
"EVANCNG","Evangelical Protestant--Total number of congregations","Evangelical Protestant"
"EVANADH","Evangelical Protestant--Total number of adherents","Evangelical Protestant"
"EVANRATE","Evangelical Protestant--Rates of adherence per 1,000 population","Evangelical Protestant"
"BPRTCNG","Black Protestant--Total number of congregations","Black Protestant"
"BPRTADH","Black Protestant--Total number of adherents","Black Protestant"
"BPRTRATE","Black Protestant--Rates of adherence per 1,000 population","Black Protestant"
"MPRTCNG","Mainline Protestant--Total number of congregations","Mainline Protestant"
"MPRTADH","Mainline Protestant--Total number of adherents","Mainline Protestant"
"MPRTRATE","Mainline Protestant--Rates of adherence per 1,000 population","Mainline Protestant"
"CATHCNG","Catholic--Total number of congregations","Catholic"
"CATHADH","Catholic--Total number of adherents","Catholic"
"CATHRATE","Catholic--Rates of adherence per 1,000 population","Catholic"
"ORTHCNG","Orthodox--Total number of congregations","Orthodox"
"ORTHADH","Orthodox--Total number of adherents","Orthodox"
"ORTHRATE","Orthodox--Rates of adherence per 1,000 population","Orthodox"
"OTHCNG","Other--Total number of congregations","Other"
"OTHADH","Other--Total number of adherents","Other"
"OTHRATE","Other--Rates of adherence per 1,000 population","Other"
"OCGCNG","(Original) Church of God--Total number of congregations","(Original) Church of God"
"AMECNG","African Methodist Episcopal Church--Total number of congregations","African Methodist Episcopal Church"
"AMEADH","African Methodist Episcopal Church--Total number of adherents","African Methodist Episcopal Church"
"AMERATE","African Methodist Episcopal Church--Rates of adherence per 1,000 population","African Methodist Episcopal Church"
"AMEZCNG","African Methodist Episcopal Zion Church--Total number of congregations","African Methodist Episcopal Zion Church"
"AMEZADH","African Methodist Episcopal Zion Church--Total number of adherents","African Methodist Episcopal Zion Church"
"AMEZRATE","African Methodist Episcopal Zion Church--Rates of adherence per 1,000 population","African Methodist Episcopal Zion Church"
"ALBCNG","Albanian Orthodox Diocese of America--Total number of congregations","Albanian Orthodox Diocese of America"
"ALBADH","Albanian Orthodox Diocese of America--Total number of adherents","Albanian Orthodox Diocese of America"
"ALBRATE","Albanian Orthodox Diocese of America--Rates of adherence per 1,000 population","Albanian Orthodox Diocese of America"
"AWMCCNG","Allegheny Wesleyan Methodist Connection--Total number of congregations","Allegheny Wesleyan Methodist Connection"
"AWMCADH","Allegheny Wesleyan Methodist Connection--Total number of adherents","Allegheny Wesleyan Methodist Connection"
"AWMCRATE","Allegheny Wesleyan Methodist Connection--Rates of adherence per 1,000 population","Allegheny Wesleyan Methodist Connection"
"ALBPCNG","Alliance of Baptists--Total number of congregations","Alliance of Baptists"
"AMANCNG","Amana Church Society--Total number of congregations","Amana Church Society"
"AMANADH","Amana Church Society--Total number of adherents","Amana Church Society"
"AMANRATE","Amana Church Society--Rates of adherence per 1,000 population","Amana Church Society"
"AAMCNG","Ambassadors Amish Mennonite--Total number of congregations","Ambassadors Amish Mennonite"
"AAMADH","Ambassadors Amish Mennonite--Total number of adherents","Ambassadors Amish Mennonite"
"AAMRATE","Ambassadors Amish Mennonite--Rates of adherence per 1,000 population","Ambassadors Amish Mennonite"
"AALCCNG","American Association of Lutheran Churches--Total number of congregations","American Association of Lutheran Churches"
"ABACNG","American Baptist Association--Total number of congregations","American Baptist Association"
"ABAADH","American Baptist Association--Total number of adherents","American Baptist Association"
"ABARATE","American Baptist Association--Rates of adherence per 1,000 population","American Baptist Association"
"ABCCNG","American Baptist Churches in the USA--Total number of congregations","American Baptist Churches in the USA"
"ABCADH","American Baptist Churches in the USA--Total number of adherents","American Baptist Churches in the USA"
"ABCRATE","American Baptist Churches in the USA--Rates of adherence per 1,000 population","American Baptist Churches in the USA"
"ACROCNG","American Carpatho-Russian Orthodox Diocese--Total number of congregations","American Carpatho-Russian Orthodox Diocese"
"ACROADH","American Carpatho-Russian Orthodox Diocese--Total number of adherents","American Carpatho-Russian Orthodox Diocese"
"ACRORATE","American Carpatho-Russian Orthodox Diocese--Rates of adherence per 1,000 population","American Carpatho-Russian Orthodox Diocese"
"APCCNG","American Presbyterian Church--Total number of congregations","American Presbyterian Church"
"AMSHCNG","Amish groups, undifferentiated--Total number of congregations","Amish groups, undifferentiated"
"AMSHADH","Amish groups, undifferentiated--Total number of adherents","Amish groups, undifferentiated"
"AMSHRATE","Amish groups, undifferentiated--Rates of adherence per 1,000 population","Amish groups, undifferentiated"
"ACNACNG","Anglican Church in North America--Total number of congregations","Anglican Church in North America"
"AOCACNG","Antiochian Orthodox Christian Archdiocese of North America--Total number of congregations","Antiochian Orthodox Christian Archdiocese of North America"
"AOCAADH","Antiochian Orthodox Christian Archdiocese of North America--Total number of adherents","Antiochian Orthodox Christian Archdiocese of North America"
"AOCARATE","Antiochian Orthodox Christian Archdiocese of North America--Rates of adherence per 1,000 population","Antiochian Orthodox Christian Archdiocese of North America"
